cell_id,Longitude,Latitude,population,average_infected,geometry
-9.219102156317584e+18,-2.2691807,53.5202174,96.0,1.0,POINT (-252604.038666323 7079809.810384339)
-9.203901165702088e+18,-2.2865513,53.4123151,71.0,2.0,POINT (-254537.7250196764 7059632.221383607)
-9.191006981421672e+18,-2.262542,53.4222578,91.0,4.0,POINT (-251865.0219671313 7061489.349840532)
-9.189900713025544e+18,-2.2732829,53.4545924,72.0,1.0,POINT (-253060.6934849808 7067531.911529893)
-9.188406391547171e+18,-2.2807174,53.4401935,111.0,1.0,POINT (-253888.2982405361 7064840.53434754)
-9.181877882936622e+18,-2.2506416,53.4456535,47.0,1.0,POINT (-250540.2754968719 7065860.985444506)
-9.16774233243223e+18,-2.2851011,53.4204083,3.0,1.0,POINT (-254376.2894936225 7061143.861598221)
-9.160582186348368e+18,-2.2822287,53.4410888,47.0,2.0,POINT (-254056.5353870385 7065007.85317336)
-9.155669283483501e+18,-2.263003,53.4968613,94.0,2.0,POINT (-251916.3402487436 7075437.898083923)
-9.146397060401699e+18,-2.2431805,53.457354,90.0,1.0,POINT (-249709.709642993 7068048.201581998)
-9.116190489125581e+18,-2.2612248,53.4528217,119.0,2.0,POINT (-251718.3919322534 7067200.891102316)
-9.115759044473532e+18,-2.2895356,53.4087125,113.0,1.0,POINT (-254869.9357764465 7058959.423691779)
-9.079078786806893e+18,-2.2790058,53.4087376,63.0,66.0,POINT (-253697.7638015219 7058964.111004166)
-9.047134745425949e+18,-2.2130923,53.4637035,93.0,1.0,POINT (-246360.306537604 7069235.388509466)
-9.044881486293305e+18,-2.279159,53.4321075,50.0,1.0,POINT (-253714.8179463688 7063329.535736352)
-9.022927791816161e+18,-2.265658,53.4393291,39.0,2.0,POINT (-252211.8934998272 7064678.99363691)
-9.012056442493738e+18,-2.2640579,53.4240521,82.0,5.0,POINT (-252033.7711832465 7061824.541036999)
-8.994877886770574e+18,-2.2865332,53.4096186,58.0,1.0,POINT (-254535.7101370248 7059128.63555697)
-8.968344338552712e+18,-2.2524032,53.4887945,270.0,4.0,POINT (-250736.3759098552 7073928.473403189)
-8.963139107435057e+18,-2.2268978,53.510418,74.0,1.0,POINT (-247897.1277664504 7077975.216022675)
-8.951383340615404e+18,-2.2882747,53.4446697,87.0,1.0,POINT (-254729.5730286401 7065677.107665073)
-8.927705407691117e+18,-2.2640523,53.4231533,82.0,9.0,POINT (-252033.1477941421 7061656.635435835)
-8.917608695507056e+18,-2.2762305,53.4446982,125.0,2.0,POINT (-253388.8188167461 7065682.434416143)
-8.915562401775263e+18,-2.2671747,53.4411234,50.0,5.0,POINT (-252380.7317715355 7065014.319491465)
-8.913844776342745e+18,-2.2385668,53.4402852,73.0,1.0,POINT (-249196.1149088275 7064857.671609789)
-8.902370089299624e+18,-2.255504,53.5031694,45.0,1.0,POINT (-251081.5553864265 7076618.442528349)
-8.888545960092948e+18,-2.2673328,53.4662909,55.0,1.0,POINT (-252398.3313818009 7069719.214130382)
-8.88171850940234e+18,-2.2295927,53.451089,248.0,1.0,POINT (-248197.1226653126 7066876.987878332)
-8.879952954009293e+18,-2.282056,53.4150224,50.0,9.0,POINT (-254037.3105122516 7060137.8562878)
-8.856656228966394e+18,-2.2417563,53.4717385,456.0,11.0,POINT (-249551.1684233917 7070737.973472376)
-8.85327827465327e+18,-2.2610593,53.4258565,69.0,3.0,POINT (-251699.9685578462 7062161.633269839)
-8.828416249273709e+18,-2.261164,53.4429344,63.0,6.0,POINT (-251711.6237076965 7065352.780667503)
-8.820616222601541e+18,-2.2760031,53.4096434,58.0,37.0,POINT (-253363.5047662531 7059133.266944334)
-8.804160885845072e+18,-2.2221766,53.4726754,63.0,1.0,POINT (-247371.5661880345 7070913.19695022)
-8.789908181581459e+18,-2.2731213,53.4294249,65.0,3.0,POINT (-253042.704256498 7062828.312465704)
-8.764412734895832e+18,-2.2490255,53.426781,25.0,1.0,POINT (-250360.372068616 7062334.350944178)
-8.753471821317726e+18,-2.2702997,53.4590934,187.0,4.0,POINT (-252728.6051796067 7068373.405273242)
-8.738292539663768e+18,-2.2688334,53.4653887,226.0,1.0,POINT (-252565.3774098393 7069550.505720806)
-8.734101792171216e+18,-2.2867753,53.4455722,110.0,1.0,POINT (-254562.6605839906 7065845.789853969)
-8.716455985745008e+18,-2.231206,53.4708606,96.0,3.0,POINT (-248376.71439895 7070573.787964281)
-8.696518199353304e+18,-2.2311229,53.4555803,183.0,1.0,POINT (-248367.4637500137 7067716.598772743)
-8.693865246921082e+18,-2.2296849,53.468167,53.0,1.0,POINT (-248207.3863215266 7070070.050092742)
-8.67151610681658e+18,-2.2746727,53.4366121,152.0,8.0,POINT (-253215.4053142733 7064171.25692449)
-8.652780654463675e+18,-2.2744988,53.4096469,48.0,13.0,POINT (-253196.046856143 7059133.920567767)
-8.634056816571482e+18,-2.2687425,53.4510073,47.0,2.0,POINT (-252555.2584688281 7066861.715570657)
-8.627272483110715e+18,-2.2524781,53.5013782,131.0,1.0,POINT (-250744.713739102 7076283.206267728)
-8.606497867196689e+18,-2.2717368,53.4483039,70.0,2.0,POINT (-252888.5824204623 7066356.381373358)
-8.60330854372324e+18,-2.2566422,53.4420454,48.0,2.0,POINT (-251208.2592339417 7065186.631992487)
-8.592791148483678e+18,-2.2597025,53.4501284,102.0,2.0,POINT (-251548.9302714404 7066697.423284896)
-8.585890246247643e+18,-2.2312793,53.4843431,85.0,1.0,POINT (-248384.8741169653 7073095.669626468)
-8.560197662277663e+18,-2.2430932,53.4420738,68.0,1.0,POINT (-249699.9914521952 7065191.939725298)
-8.559598611388451e+18,-2.2731963,53.4411098,101.0,1.0,POINT (-253051.0532177365 7065011.777816671)
-8.559087933587131e+18,-2.2326239,53.4546785,161.0,2.0,POINT (-248534.5543058483 7067548.007695939)
-8.554634252048035e+18,-2.219196,53.4789728,455.0,1.0,POINT (-247039.7673132481 7072091.066937311)
-8.550859544003586e+18,-2.2597134,53.4519261,62.0,1.0,POINT (-251550.1436538023 7067033.469975774)
-8.523066058572685e+18,-2.2525155,53.50767,240.0,1.0,POINT (-250748.8770877511 7077460.825449577)
-8.516724301628638e+18,-2.2612745,53.4609112,59.0,1.0,POINT (-251723.9245105505 7068713.281111293)
-8.509657745209662e+18,-2.2435204,53.5166771,84.0,1.0,POINT (-249747.5471350163 7079146.964277782)
-8.505769374084876e+18,-2.2297238,53.4753577,321.0,2.0,POINT (-248211.7166493664 7071414.874799523)
-8.476625482339824e+18,-2.2370814,53.4438836,86.0,1.0,POINT (-249030.7609369172 7065530.184192717)
-8.475299738797852e+18,-2.2611365,53.4384402,63.0,3.0,POINT (-251708.5624219195 7064512.877747201)
-8.461228321075834e+18,-2.2341248,53.4537767,189.0,1.0,POINT (-248701.6337297336 7067379.420199198)
-8.455148509738801e+18,-2.2625752,53.4276508,56.0,3.0,POINT (-251868.7177739616 7062496.85284131)
-8.423021331820129e+18,-2.2386424,53.4537678,120.0,2.0,POINT (-249204.5306616707 7067377.756401688)
-8.42264005189039e+18,-2.2431137,53.4456691,100.0,1.0,POINT (-249702.2735015803 7065863.901206893)
-8.403350298740654e+18,-2.2509015,53.4896966,27.0,1.0,POINT (-250569.2074303768 7074097.256190342)
-8.367947633423935e+18,-2.2612524,53.4573159,85.0,5.0,POINT (-251721.4643499797 7068041.078435501)
-8.355812851061389e+18,-2.249389,53.4888009,51.0,1.0,POINT (-250400.8367004856 7073929.670829652)
-8.332816056464968e+18,-2.2611475,53.4402379,69.0,3.0,POINT (-251709.7869362303 7064848.831992262)
-8.329389541965859e+18,-2.2373624,53.4942185,38.0,1.0,POINT (-249062.0417113667 7074943.357167982)
-8.315898785141905e+18,-2.2266051,53.455589,54.0,1.0,POINT (-247864.5445541789 7067718.225250958)
-8.304408661760649e+18,-2.2445883,53.440273,175.0,2.0,POINT (-249866.4252230781 7064855.391622935)
-8.300058827610172e+18,-2.2720761,53.5013352,380.0,1.0,POINT (-252926.3531211045 7076275.158675588)
-8.282859703397573e+18,-2.2642979,53.4627022,115.0,3.0,POINT (-252060.4878591474 7069048.160359163)
-8.265864934481e+18,-2.2389152,53.5023049,150.0,3.0,POINT (-249234.8986163855 7076456.643223328)
-8.249707509341392e+18,-2.2657535,53.4546094,143.0,6.0,POINT (-252222.5245104512 7067535.089632104)
-8.230560050219767e+18,-2.2538835,53.4842972,398.0,2.0,POINT (-250901.162152406 7073087.082740077)
-8.226178003685262e+18,-2.2325551,53.4420948,108.0,1.0,POINT (-248526.8955254988 7065195.864459582)
-8.21600829902982e+18,-2.2192748,53.494253,25.0,1.0,POINT (-247048.5392883742 7074949.812872697)
-8.20875608847401e+18,-2.264069,53.4258498,76.0,7.0,POINT (-252035.0068295065 7062160.381570847)
-8.186845054430959e+18,-2.2628528,53.4725928,368.0,6.0,POINT (-251899.6200624095 7070897.748551662)
-8.182759205304929e+18,-2.2552986,53.4690138,165.0,3.0,POINT (-251058.6903646835 7070228.409147561)
-8.173610513607495e+18,-2.2747888,53.4545889,75.0,3.0,POINT (-253228.3295062767 7067531.25721489)
-8.167221136569942e+18,-2.2192423,53.4879612,26.0,2.0,POINT (-247044.9214052316 7073772.566275922)
-8.163349853172639e+18,-2.2537064,53.4546356,136.0,6.0,POINT (-250881.4474720354 7067539.987650945)
-8.146062154448887e+18,-2.2745278,53.4141411,3.0,1.0,POINT (-253199.2751211561 7059973.254800186)
-8.129833349508e+18,-2.255412,53.4878893,135.0,2.0,POINT (-251071.3139940182 7073759.114214803)
-8.126488066270032e+18,-2.2163519,53.5122352,112.0,1.0,POINT (-246723.1635476353 7078315.391021084)
-8.105822237240066e+18,-2.2837461,53.4428829,81.0,1.0,POINT (-254225.4515823907 7065343.15553711)
-8.099383334000059e+18,-2.2675478,53.5004465,75.0,1.0,POINT (-252422.2650706574 7076108.837356745)
-8.086981265581416e+18,-2.2716622,53.436619,43.0,1.0,POINT (-252880.2779870199 7064172.546314081)
-8.075047445361914e+18,-2.2626251,53.4357404,69.0,3.0,POINT (-251874.2726161562 7064008.365719526)
-8.071257530894797e+18,-2.216219,53.486169,87.0,1.0,POINT (-246708.3691885847 7073437.263137439)
-8.061922295749869e+18,-2.271823,53.4617865,168.0,5.0,POINT (-252898.1781599107 7068876.941996143)
-8.060148060215459e+18,-2.2522271,53.459133,70.0,3.0,POINT (-250716.7725489751 7068380.809168641)
-8.049644589488649e+18,-2.2582786,53.4636143,102.0,1.0,POINT (-251390.4224477311 7069218.709262445)
-8.044260108193428e+18,-2.2776715,53.4348075,63.0,2.0,POINT (-253549.2302035721 7063834.042009055)
-8.030801606999248e+18,-2.2791531,53.4312086,24.0,1.0,POINT (-253714.1611614171 7063161.579629659)
-8.027354498566707e+18,-2.2280917,53.4519907,35.0,1.0,POINT (-248030.0321094781 7067045.546012742)
-8.022021523900845e+18,-2.2643593,53.4725894,153.0,1.0,POINT (-252067.3228753997 7070897.112661804)
-8.020871435163159e+18,-2.2430675,53.4375796,78.0,1.0,POINT (-249697.1305415021 7064352.053816702)
-8.01770910159339e+18,-2.2431086,53.4447703,74.0,1.0,POINT (-249701.7057722214 7065695.910177739)
-7.983219759458e+18,-2.2567887,53.466314,169.0,2.0,POINT (-251224.5675381563 7069723.533800803)
-7.981186070251875e+18,-2.2598013,53.4663075,286.0,4.0,POINT (-251559.9286363404 7069722.318308885)
-7.967697472074746e+18,-2.2357752,53.4798401,196.0,3.0,POINT (-248885.3554161726 7072253.30101644)
-7.963577233589939e+18,-2.2748353,53.4617796,96.0,1.0,POINT (-253233.5058622478 7068875.651842331)
-7.959964316177459e+18,-2.2479764,53.504983,71.0,2.0,POINT (-250243.5867868918 7076957.885545739)
-7.942383138907096e+18,-2.2477247,53.4618389,112.0,4.0,POINT (-250215.5676731657 7068886.739692771)
-7.932563451538481e+18,-2.2806878,53.4356993,81.0,1.0,POINT (-253885.0031838281 7064000.685604262)
-7.931003475094699e+18,-2.2702597,53.4528015,35.0,1.0,POINT (-252724.152400282 7067197.114928201)
-7.928146769076099e+18,-2.2702197,53.4465097,79.0,3.0,POINT (-252719.6996209577 7066021.017529081)
-7.917155541571528e+18,-2.2507423,53.4627315,166.0,4.0,POINT (-250551.4853687593 7069053.638958877)
-7.912244995463601e+18,-2.2703054,53.4599922,132.0,1.0,POINT (-252729.2397006603 7068541.452966779)
-7.90344478336077e+18,-2.2656917,53.4447221,59.0,3.0,POINT (-252215.6449664033 7065686.901413638)
-7.900623898303849e+18,-2.2416286,53.4492675,47.0,1.0,POINT (-249536.9529255172 7066536.499024879)
-7.89181875763594e+18,-2.2538405,53.4771065,55.0,1.0,POINT (-250896.3754146527 7071741.974687729)
-7.876654674811672e+18,-2.2522698,53.4663237,69.0,4.0,POINT (-250721.5258908805 7069725.347689076)
-7.849151591177891e+18,-2.2716794,53.4393156,100.0,4.0,POINT (-252882.1926821298 7064676.470757436)
-7.834504497996877e+18,-2.2551907,53.451037,76.0,2.0,POINT (-251046.6789925057 7066867.267434313)
-7.8221318232581e+18,-2.2403515,53.4897183,621.0,5.0,POINT (-249394.7868017366 7074101.316301508)
-7.821701272676798e+18,-2.2523819,53.4851992,268.0,1.0,POINT (-250734.0048048766 7073255.828924536)
-7.794366501935088e+18,-2.2686857,53.4420189,96.0,7.0,POINT (-252548.9355221902 7065181.679357671)
-7.791295936942557e+18,-2.2900377,53.4824171,82.0,1.0,POINT (-254925.8292891818 7072735.365114815)
-7.753917085178903e+18,-2.2295975,53.4519878,90.0,1.0,POINT (-248197.6569988244 7067045.003899232)
-7.751654916804915e+18,-2.250737,53.4618327,101.0,4.0,POINT (-250550.8953755022 7068885.580422697)
-7.748928633894969e+18,-2.2554012,53.4860916,48.0,1.0,POINT (-251070.1117436054 7073422.78267191)
-7.742294261212988e+18,-2.2400265,53.4321926,79.0,1.0,POINT (-249358.6079700449 7063345.436537129)
-7.727797502955529e+18,-2.2566368,53.4411466,73.0,3.0,POINT (-251207.6581087354 7065018.655291528)
-7.711565303493118e+18,-2.2492888,53.471723,546.0,7.0,POINT (-250389.6824883421 7070735.074621516)
-7.71088129937569e+18,-2.2717196,53.4456074,65.0,2.0,POINT (-252886.6677253525 7065852.368999071)
-7.702827843260857e+18,-2.255531,53.5076636,207.0,1.0,POINT (-251084.5610124591 7077459.627490115)
-7.670590484454127e+18,-2.2838241,53.4545678,158.0,3.0,POINT (-254234.1345021027 7067527.31263129)
-7.668937294224547e+18,-2.2687766,53.4564003,84.0,2.0,POINT (-252559.0544632009 7067869.900487035)
-7.653867988964343e+18,-2.2476933,53.4564459,97.0,8.0,POINT (-250212.0722414185 7067878.425644659)
-7.6527671395552e+18,-2.2446658,53.4537556,130.0,1.0,POINT (-249875.0524829542 7067375.475691052)
-7.648560614496275e+18,-2.249136,53.4456567,30.0,1.0,POINT (-250372.6728714238 7065861.58354952)
-7.639406629457448e+18,-2.2747946,53.4554877,57.0,1.0,POINT (-253228.9751592794 7067699.287082682)
-7.625449010453911e+18,-2.2790411,53.4141306,81.0,22.0,POINT (-253701.693379283 7059971.293722841)
-7.580536322211442e+18,-2.2358251,53.4888284,69.0,1.0,POINT (-248890.9102583238 7073934.816023505)
-7.559990922938914e+18,-2.2699916,53.410556,34.0,2.0,POINT (-252694.307646866 7059303.696410693)
-7.509072578726797e+18,-2.278124,53.5040178,26.0,1.0,POINT (-253599.6022697846 7076777.231775042)
-7.503026198377777e+18,-2.2492941,53.4726218,259.0,5.0,POINT (-250390.2724815994 7070903.172320134)
-7.483776166939887e+18,-2.2731501,53.4339191,55.0,2.0,POINT (-253045.9102576132 7063668.037221842)
-7.481353023776088e+18,-2.2598343,53.4717005,112.0,1.0,POINT (-251563.6021792735 7070730.866614082)
-7.479870971964531e+18,-2.2670957,53.4285397,56.0,5.0,POINT (-252371.9375323782 7062662.926564483)
-7.464237364225688e+18,-2.2521578,53.4474481,125.0,1.0,POINT (-250709.0581088347 7066196.417295549)
-7.458230612698633e+18,-2.2386273,53.4510713,174.0,1.0,POINT (-249202.8497374917 7066873.679187401)
-7.452724168260698e+18,-2.2702312,53.4483074,215.0,3.0,POINT (-252720.979795014 7066357.035591543)
-7.452366316021635e+18,-2.2522485,53.4627283,22.0,1.0,POINT (-250719.1547859024 7069053.040613333)
-7.439136603993782e+18,-2.2656805,53.4429245,122.0,4.0,POINT (-252214.3981881943 7065350.930398815)
-7.432656878339465e+18,-2.2671239,53.4330339,36.0,3.0,POINT (-252375.0767417987 7063502.633832122)
