cell_id,Longitude,Latitude,population,average_infected,geometry
-9.222257258821886e+18,-2.3001541,53.4212702,67.0,1.0,POINT (-256051.9817895913 7061304.863413938)
-9.203901165702088e+18,-2.2865513,53.4123151,71.0,43.0,POINT (-254537.7250196764 7059632.221383607)
-9.196684365274498e+18,-2.2758227,53.3817792,78.0,1.0,POINT (-253343.4227314794 7053931.343572848)
-9.191006981421672e+18,-2.262542,53.4222578,91.0,29.0,POINT (-251865.0219671313 7061489.349840532)
-9.188406391547171e+18,-2.2807174,53.4401935,111.0,3.0,POINT (-253888.2982405361 7064840.53434754)
-9.16774233243223e+18,-2.2851011,53.4204083,3.0,3.0,POINT (-254376.2894936225 7061143.861598221)
-9.167217857195917e+18,-2.2534065,53.4043004,99.0,12.0,POINT (-250848.0627592127 7058135.526765296)
-9.155212330799497e+18,-2.265389,53.3961846,76.0,12.0,POINT (-252181.9485589167 7056620.239640842)
-9.138741663229698e+18,-2.2444902,53.423195,172.0,10.0,POINT (-249855.5047818688 7061664.42537001)
-9.13447564263036e+18,-2.3076063,53.4113638,50.0,1.0,POINT (-256881.5568999144 7059454.557365645)
-9.129392057855104e+18,-2.3045012,53.3978889,62.0,2.0,POINT (-256535.8987494898 7056938.422604461)
-9.115759044473532e+18,-2.2895356,53.4087125,113.0,68.0,POINT (-254869.9357764465 7058959.423691779)
-9.112110573945193e+18,-2.2370213,53.4330975,75.0,1.0,POINT (-249024.0706360496 7063514.517647831)
-9.108469538994464e+18,-2.2430572,53.4357819,87.0,1.0,POINT (-249695.983950835 7064016.120587965)
-9.104015718679456e+18,-2.2534332,53.4087946,29.0,5.0,POINT (-250851.0349893963 7058974.755508677)
-9.097511434836589e+18,-2.2758867,53.3916665,96.0,6.0,POINT (-253350.5471784052 7055776.798134866)
-9.097439391553896e+18,-2.2668141,53.3835974,76.0,1.0,POINT (-252340.5899659735 7054270.67660749)
-9.087925838978184e+18,-2.2971447,53.4212778,79.0,3.0,POINT (-255716.9769137776 7061306.283098689)
-9.079078786806893e+18,-2.2790058,53.4087376,63.0,202.0,POINT (-253697.7638015219 7058964.111004166)
-9.076254581775409e+18,-2.2474684,53.4177957,19.0,3.0,POINT (-250187.036489833 7060655.851204306)
-9.06117971131537e+18,-2.2956213,53.418585,72.0,7.0,POINT (-255547.3928015244 7060803.282248721)
-9.049234175529624e+18,-2.2758692,53.38897,65.0,1.0,POINT (-253348.5990874488 7055273.456624857)
-9.044881486293305e+18,-2.279159,53.4321075,50.0,1.0,POINT (-253714.8179463688 7063329.535736352)
-9.030470385945793e+18,-2.2909908,53.4015181,55.0,13.0,POINT (-255031.9278999104 7057616.015738313)
-9.022927791816161e+18,-2.265658,53.4393291,39.0,1.0,POINT (-252211.8934998272 7064678.99363691)
-9.012056442493738e+18,-2.2640579,53.4240521,82.0,16.0,POINT (-252033.7711832465 7061824.541036999)
-9.002571956177655e+18,-2.2970444,53.4068963,70.0,8.0,POINT (-255705.8115695532 7058620.263824224)
-8.995200221639173e+18,-2.2475572,53.4330761,42.0,3.0,POINT (-250196.9216598661 7063510.519003453)
-8.994877886770574e+18,-2.2865332,53.4096186,58.0,55.0,POINT (-254535.7101370248 7059128.63555697)
-8.983991669828227e+18,-2.2488889,53.4034111,6.0,1.0,POINT (-250345.1658273205 7057969.472984443)
-8.946694225479814e+18,-2.2896395,53.4239928,5.0,1.0,POINT (-254881.5018707934 7061813.463043844)
-8.943984299139856e+18,-2.2579624,53.4114815,81.0,34.0,POINT (-251355.2232272938 7059476.538706549)
-8.932006606833613e+18,-2.262326,53.3872028,113.0,1.0,POINT (-251840.9769588389 7054943.599965762)
-8.927705407691117e+18,-2.2640523,53.4231533,82.0,28.0,POINT (-252033.1477941421 7061656.635435835)
-8.922879457130846e+18,-2.2819073,53.3925513,55.0,3.0,POINT (-254020.7573050704 7055941.966057677)
-8.915562401775263e+18,-2.2671747,53.4411234,50.0,1.0,POINT (-252380.7317715355 7065014.319491465)
-8.914764095853446e+18,-2.2399809,53.424103,28.0,1.0,POINT (-249353.5318016617 7061834.049815769)
-8.914606690390016e+18,-2.2399252,53.4142157,32.0,1.0,POINT (-249347.33130651 7059987.187801709)
-8.908380653343047e+18,-2.2669886,53.4114616,15.0,27.0,POINT (-252360.0152157503 7059472.82223088)
-8.887702915408759e+18,-2.2985801,53.4113868,63.0,5.0,POINT (-255876.764911455 7059458.852780079)
-8.879952954009293e+18,-2.282056,53.4150224,50.0,41.0,POINT (-254037.3105122516 7060137.8562878)
-8.869659534010181e+18,-2.3030676,53.40778,125.0,3.0,POINT (-256376.3111268956 7058785.285457368)
-8.858654685558745e+18,-2.2970632,53.4095928,36.0,5.0,POINT (-255707.9043758484 7059123.817422973)
-8.855525522308704e+18,-2.2548568,53.3953087,86.0,2.0,POINT (-251009.5094172611 7056456.719128472)
-8.85327827465327e+18,-2.2610593,53.4258565,69.0,11.0,POINT (-251699.9685578462 7062161.633269839)
-8.831999906576382e+18,-2.2698663,53.3907814,65.0,1.0,POINT (-252680.359315639 7055611.577645377)
-8.820616222601541e+18,-2.2760031,53.4096434,58.0,182.0,POINT (-253363.5047662531 7059133.266944334)
-8.805924310384728e+18,-2.2880739,53.415008,49.0,18.0,POINT (-254707.2200763365 7060135.166754689)
-8.789908181581459e+18,-2.2731213,53.4294249,65.0,8.0,POINT (-253042.704256498 7062828.312465704)
-8.785470104030974e+18,-2.2940422,53.4078026,41.0,12.0,POINT (-255371.6081940295 7058789.505813325)
