cell_id,Longitude,Latitude,population,average_infected,geometry
-9.207341963383699e+18,-2.1876931,53.510486,85.0,1.0,POINT (-243532.8805228905 7077987.945178441)
-9.192993157426835e+18,-2.1292148,53.6184234,93.0,1.0,POINT (-237023.105934867 7098218.923862293)
-9.191006981421672e+18,-2.262542,53.4222578,91.0,14.0,POINT (-251865.0219671313 7061489.349840532)
-9.181877882936622e+18,-2.2506416,53.4456535,47.0,4.0,POINT (-250540.2754968719 7065860.985444506)
-9.16992323435736e+18,-2.1878364,53.542844,40.0,2.0,POINT (-243548.8326043357 7084047.470301062)
-9.163882957738217e+18,-2.1620935,53.5195119,86.0,1.0,POINT (-240683.1460840753 7079677.716048704)
-9.159880951948464e+18,-2.1321623,53.5941519,114.0,1.0,POINT (-237351.2201353891 7093665.15345524)
-9.157023339766248e+18,-2.116989,53.5707982,61.0,1.0,POINT (-235662.1361057886 7089286.047631431)
-9.151019532943392e+18,-2.1275727,53.5752815,72.0,1.0,POINT (-236840.3082010423 7090126.533866405)
-9.150519537744452e+18,-2.2133089,53.5068476,44.0,3.0,POINT (-246384.4183371954 7077306.889135662)
-9.148121056844384e+18,-2.2102978,53.5077518,46.0,1.0,POINT (-246049.2242182038 7077476.136884936)
-9.147667224104892e+18,-2.1381352,53.5725733,24.0,1.0,POINT (-238016.1203234452 7089618.815757266)
-9.146397060401699e+18,-2.2431805,53.457354,90.0,7.0,POINT (-249709.709642993 7068048.201581998)
-9.140959868106436e+18,-2.2296461,53.4609762,44.0,2.0,POINT (-248203.0671256362 7068725.434493841)
-9.136627954441568e+18,-2.1743958,53.57702,12.0,1.0,POINT (-242052.6318537191 7090452.475211469)
-9.133403500089352e+18,-2.1321286,53.583366,91.0,3.0,POINT (-237347.4686690787 7091642.363943717)
-9.132471859214541e+18,-2.265804,53.4626989,140.0,1.0,POINT (-252228.1461443415 7069047.543315745)
-9.128897959407832e+18,-2.1443105,53.6121144,154.0,1.0,POINT (-238703.551573442 7097034.990114867)
-9.116477081914216e+18,-2.2521472,53.4456504,16.0,1.0,POINT (-250707.8781223203 7065860.406030312)
-9.116190489125581e+18,-2.2612248,53.4528217,119.0,1.0,POINT (-251718.3919322534 7067200.891102316)
-9.115129979977745e+18,-2.1998747,53.5356337,29.0,1.0,POINT (-244888.9300315837 7082696.83161316)
-9.112110573945193e+18,-2.2370213,53.4330975,75.0,1.0,POINT (-249024.0706360496 7063514.517647831)
-9.108832485541235e+18,-2.1775068,53.5985873,32.0,1.0,POINT (-242398.9467887441 7094497.118956496)
-9.108469538994464e+18,-2.2430572,53.4357819,87.0,4.0,POINT (-249695.983950835 7064016.120587965)
-9.108448564796195e+18,-2.2478243,53.4789168,2.0,1.0,POINT (-250226.655093614 7072080.59188906)
-9.10027126584664e+18,-2.2222706,53.4906521,50.0,1.0,POINT (-247382.0302192886 7074276.034025014)
-9.096457842332698e+18,-2.196578,53.4754168,74.0,1.0,POINT (-244521.943069018 7071425.928789664)
-9.094880705927094e+18,-2.2222189,53.4807649,35.0,2.0,POINT (-247376.2750020986 7072426.294495975)
-9.08561102546512e+18,-2.1952242,53.5086763,82.0,1.0,POINT (-244371.2387406402 7077649.188112108)
-9.079078786806893e+18,-2.2790058,53.4087376,63.0,92.0,POINT (-253697.7638015219 7058964.111004166)
-9.074440732913974e+18,-2.192233,53.5140742,150.0,3.0,POINT (-244038.2598792956 7078659.661772195)
-9.040617313318856e+18,-2.1426019,53.5536926,77.0,2.0,POINT (-238513.3510942273 7086080.071563143)
-9.038241977971775e+18,-2.1275538,53.5689897,66.0,1.0,POINT (-236838.2042629753 7088947.03255875)
-9.037085885998264e+18,-2.0943446,53.5735148,125.0,1.0,POINT (-233141.3730266986 7089795.319195789)
-9.033635925254542e+18,-2.1682333,53.5464685,64.0,4.0,POINT (-241366.6254927621 7084726.501192814)
-9.030166473942736e+18,-2.1637024,53.545576,60.0,3.0,POINT (-240862.248011642 7084559.290645265)
-9.022989366995021e+18,-2.2056482,53.4816935,51.0,1.0,POINT (-245531.6331147596 7072600.002599273)
-9.022927791816161e+18,-2.265658,53.4393291,39.0,3.0,POINT (-252211.8934998272 7064678.99363691)
-9.015753689935987e+18,-2.2342536,53.4771465,205.0,9.0,POINT (-248715.9716790034 7071749.456544429)
-9.0139774893543e+18,-2.1727498,53.5437656,59.0,1.0,POINT (-241869.3999733915 7084220.121670698)
-9.012056442493738e+18,-2.2640579,53.4240521,82.0,17.0,POINT (-252033.7711832465 7061824.541036999)
-9.010265443845805e+18,-2.2344222,53.5077069,157.0,2.0,POINT (-248734.7401436577 7077467.732438164)
-9.009159554776636e+18,-2.1891369,53.4961023,80.0,2.0,POINT (-243693.603604513 7075295.865052809)
-9.004926378175579e+18,-2.217906,53.5212208,75.0,1.0,POINT (-246896.165167948 7079997.685831939)
-8.995654624244665e+18,-2.2252516,53.4843546,230.0,8.0,POINT (-247713.8736218711 7073097.82102647)
-8.995200221639173e+18,-2.2475572,53.4330761,42.0,2.0,POINT (-250196.9216598661 7063510.519003453)
-8.986504548065417e+18,-2.1817078,53.5212814,69.0,3.0,POINT (-242866.5999736776 7080009.032647551)
-8.968344338552712e+18,-2.2524032,53.4887945,270.0,1.0,POINT (-250736.3759098552 7073928.473403189)
-8.964260683308902e+18,-2.2616397,53.5202342,122.0,1.0,POINT (-251764.5783856976 7079812.955960087)
-8.957703577414554e+18,-2.1924125,53.5536227,106.0,2.0,POINT (-244058.2417259573 7086066.973382955)
-8.956350964726552e+18,-2.1788126,53.5500485,53.0,2.0,POINT (-242544.3077823039 7085397.25233036)
-8.953694091412768e+18,-2.2115682,53.4601108,131.0,1.0,POINT (-246190.644501753 7068563.627749558)
-8.952535432322759e+18,-2.1518002,53.5932298,80.0,2.0,POINT (-239537.3011651098 7093492.202481619)
-8.938691708062763e+18,-2.1890528,53.4772267,34.0,1.0,POINT (-243684.241636265 7071764.457688295)
-8.938202094426329e+18,-2.1563659,53.6022121,72.0,1.0,POINT (-240045.5525641148 7095177.101879161)
-8.935633417165079e+18,-2.1742145,53.5329774,13.0,1.0,POINT (-242032.4496321949 7082199.309521768)
-8.932390757387278e+18,-2.2160727,53.4574062,183.0,2.0,POINT (-246692.0831484923 7068057.960863919)
-8.931963604232022e+18,-2.2086354,53.4762952,88.0,4.0,POINT (-245864.1666981411 7071590.225447458)
-8.930997543684478e+18,-2.1501075,53.5419985,44.0,1.0,POINT (-239348.8706654469 7083889.078714062)
-8.927823910825697e+18,-2.1548317,53.5959223,28.0,1.0,POINT (-239874.7662015375 7093997.223903933)
-8.927705407691117e+18,-2.2640523,53.4231533,82.0,24.0,POINT (-252033.1477941421 7061656.635435835)
-8.925195541982544e+18,-2.1485954,53.5411016,3.0,1.0,POINT (-239180.5444633531 7083721.061575766)
-8.917926015214285e+18,-2.2236027,53.4573923,57.0,1.0,POINT (-247530.3189147136 7068055.362126757)
-8.916665973865242e+18,-2.1831035,53.4952128,92.0,1.0,POINT (-243021.9685883671 7075129.414559013)
-8.913844776342745e+18,-2.2385668,53.4402852,73.0,1.0,POINT (-249196.1149088275 7064857.671609789)
-8.911910543952341e+18,-2.235915,53.5050074,210.0,1.0,POINT (-248900.9178797556 7076962.452478346)
-8.908380653343047e+18,-2.2669886,53.4114616,15.0,1.0,POINT (-252360.0152157503 7059472.82223088)
-8.888927409894852e+18,-2.2133902,53.5230266,81.0,3.0,POINT (-246393.4686110056 7080335.812932788)
-8.887785009360518e+18,-2.1530054,53.5087378,68.0,1.0,POINT (-239671.4634196715 7077660.700036292)
-8.887470061898155e+18,-2.1624001,53.5995076,46.0,1.0,POINT (-240717.2766360316 7094669.754205549)
-8.88580855778841e+18,-2.1711137,53.5123086,19.0,1.0,POINT (-241687.2701559389 7078329.131611594)
-8.881731962447123e+18,-2.1756375,53.512302,65.0,1.0,POINT (-242190.857268718 7078327.896080688)
-8.88171850940234e+18,-2.2295927,53.451089,248.0,7.0,POINT (-248197.1226653126 7066876.987878332)
-8.880139947124543e+18,-2.1321258,53.5824672,86.0,2.0,POINT (-237347.1569745484 7091473.826140158)
-8.869011238056954e+18,-2.2147348,53.4906659,17.0,2.0,POINT (-246543.1488000193 7074278.616089113)
-8.861685628362217e+18,-2.1064618,53.5878858,66.0,1.0,POINT (-234490.2535607038 7092489.945158529)
-8.856656228966394e+18,-2.2417563,53.4717385,456.0,23.0,POINT (-249551.1684233917 7070737.973472376)
-8.85327827465327e+18,-2.2610593,53.4258565,69.0,16.0,POINT (-251699.9685578462 7062161.633269839)
-8.842763835946889e+18,-2.2416439,53.4519641,68.0,8.0,POINT (-249538.6561135943 7067040.573524706)
-8.835245230656279e+18,-2.1563293,53.5923251,99.0,1.0,POINT (-240041.4782712354 7093322.518755861)
-8.82977887775915e+18,-2.2253088,53.4951407,93.0,4.0,POINT (-247720.2410962165 7075115.922772415)
-8.828714116805189e+18,-2.217846,53.509536,104.0,1.0,POINT (-246889.4859990715 7077810.113230288)
-8.828416249273709e+18,-2.261164,53.4429344,63.0,5.0,POINT (-251711.6237076965 7065352.780667503)
-8.827307524427134e+18,-2.124555,53.5761835,76.0,2.0,POINT (-236504.3793734121 7090295.64297446)
-8.826594314237283e+18,-2.150098,53.539302,51.0,1.0,POINT (-239347.8131304168 7083383.951516164)
-8.821312786643842e+18,-2.1740743,53.4988217,101.0,1.0,POINT (-242016.842641263 7075804.763013278)
-8.820616222601541e+18,-2.2760031,53.4096434,58.0,126.0,POINT (-253363.5047662531 7059133.266944334)
-8.818799902149985e+18,-2.1304545,53.5303367,124.0,1.0,POINT (-237161.1087120406 7081704.74022691)
-8.815136339919702e+18,-2.1064188,53.5708081,30.0,1.0,POINT (-234485.4668234408 7089287.903490542)
-8.805413832360307e+18,-2.1578804,53.603109,188.0,1.0,POINT (-240214.1459329874 7095345.362011362)
-8.8050776000544e+18,-2.2222847,53.4933486,22.0,1.0,POINT (-247383.5998239769 7074780.581579646)
-8.804160885845072e+18,-2.2221766,53.4726754,63.0,3.0,POINT (-247371.5661880345 7070913.19695022)
-8.796413594126751e+18,-2.2283766,53.5050221,75.0,1.0,POINT (-248061.7470298091 7076965.203869345)
-8.794698105517011e+18,-2.1815693,53.4889233,49.0,1.0,POINT (-242851.1822257919 7073952.571645316)
-8.789908181581459e+18,-2.2731213,53.4294249,65.0,3.0,POINT (-253042.704256498 7062828.312465704)
-8.785472286239898e+18,-2.2221484,53.4672824,30.0,1.0,POINT (-247368.4269786583 7069904.625479256)
-8.774729146862758e+18,-2.2193956,53.5176227,98.0,4.0,POINT (-247061.9866817193 7079324.00240586)
-8.774124936483399e+18,-2.214712,53.4861717,99.0,5.0,POINT (-246540.6107158496 7073437.768270436)
-8.772735858712403e+18,-2.2149578,53.5347087,107.0,2.0,POINT (-246567.9730443126 7082523.576580873)
-8.765789172629681e+18,-2.1304379,53.5249437,35.0,1.0,POINT (-237159.2608087595 7080694.796180621)
-8.764356516414365e+18,-2.2401787,53.4591578,124.0,12.0,POINT (-249375.5507952221 7068385.445955128)
-8.76360931645783e+18,-2.1366745,53.5878551,23.0,1.0,POINT (-237853.5159423841 7092484.187796712)
-8.760063466626432e+18,-2.1382881,53.6193121,117.0,1.0,POINT (-238033.1410712972 7098385.7096634)
-8.75932085196094e+18,-2.097454,53.6121618,10.0,1.0,POINT (-233487.5098496864 7097043.884439705)
-8.756419334151014e+18,-2.1094668,53.5815913,46.0,1.0,POINT (-234824.7686310661 7091309.585860492)
-8.753471821317726e+18,-2.2702997,53.4590934,187.0,1.0,POINT (-252728.6051796067 7068373.405273242)
-8.744607435583715e+18,-2.1322101,53.6094319,125.0,1.0,POINT (-237356.5412063 7096531.651372747)
-8.744149203476346e+18,-2.2087724,53.5041591,49.0,4.0,POINT (-245879.417467014 7076803.678241214)
-8.739805003930413e+18,-2.1966279,53.4862029,196.0,7.0,POINT (-244527.4979110788 7073443.605365139)
-8.736272548074443e+18,-2.1636087,53.5213075,79.0,2.0,POINT (-240851.8173765463 7080013.919647376)
-8.735146857022126e+18,-2.1983785,53.5383327,55.0,4.0,POINT (-244722.373809217 7083202.383337456)
-8.730461156273749e+18,-2.202918,53.5410216,50.0,1.0,POINT (-245227.7086378713 7083706.075272375)
-8.729316455584638e+18,-2.1757605,53.5419635,84.0,2.0,POINT (-242204.5495646304 7083882.522063951)
-8.728632787239637e+18,-2.2254042,53.5131173,108.0,2.0,POINT (-247730.8609747598 7078480.523050011)
-8.726973971707588e+18,-2.1863037,53.5374533,75.0,1.0,POINT (-243378.2132209508 7083037.65872091)
-8.716455985745008e+18,-2.231206,53.4708606,96.0,7.0,POINT (-248376.71439895 7070573.787964281)
-8.714023403261938e+18,-2.2401026,53.4456752,86.0,4.0,POINT (-249367.0793826332 7065865.041345038)
-8.711284257530214e+18,-2.2550129,53.4213753,47.0,1.0,POINT (-251026.8863884948 7061324.496182109)
-8.711135889843536e+18,-2.1848301,53.5455452,25.0,1.0,POINT (-243214.1728188119 7084553.520305196)
-8.709065954555062e+18,-2.2057789,53.5086585,57.0,4.0,POINT (-245546.1825708846 7077645.856208697)
-8.708324851592388e+18,-2.1652045,53.5437763,72.0,1.0,POINT (-241029.4610189604 7084222.12621707)
-8.705044982565692e+18,-2.222492,53.5328972,79.0,1.0,POINT (-247406.6763524861 7082184.28863512)
-8.699479833325542e+18,-2.2148439,53.5122379,25.0,1.0,POINT (-246555.2937554092 7078315.896464727)
-8.699015454900549e+18,-2.2045007,53.5562991,112.0,1.0,POINT (-245403.893995314 7086568.504863721)
-8.697037610610992e+18,-2.1636225,53.5249029,52.0,2.0,POINT (-240853.3535853426 7080687.156078212)
-8.696518199353304e+18,-2.2311229,53.4555803,183.0,10.0,POINT (-248367.4637500137 7067716.598772743)
-8.6964090500986e+18,-2.1621073,53.5231073,90.0,3.0,POINT (-240684.6822928716 7080350.923943831)
-8.693865246921082e+18,-2.2296849,53.468167,53.0,2.0,POINT (-248207.3863215266 7070070.050092742)
-8.691712848727049e+18,-2.1745107,53.6048835,99.0,1.0,POINT (-242065.4224618508 7095678.272087301)
-8.688160199763491e+18,-2.2164573,53.5329083,64.0,2.0,POINT (-246734.896620955 7082186.367584078)
-8.678734844971149e+18,-2.2085825,53.4655092,99.0,2.0,POINT (-245858.2778976076 7069573.038613376)
-8.67323163489552e+18,-2.157877,53.6022101,36.0,1.0,POINT (-240213.7674467626 7095176.726679393)
-8.67151610681658e+18,-2.2746727,53.4366121,152.0,2.0,POINT (-253215.4053142733 7064171.25692449)
-8.656515310043952e+18,-2.1154079,53.5447336,192.0,1.0,POINT (-235486.1288600704 7084401.469604539)
-8.652780654463675e+18,-2.2744988,53.4096469,48.0,76.0,POINT (-253196.046856143 7059133.920567767)
-8.652483027501241e+18,-2.2044183,53.5392214,33.0,1.0,POINT (-245394.7212701065 7083368.853457421)
-8.648777033173784e+18,-2.1230343,53.5725898,56.0,1.0,POINT (-236335.0958238302 7089621.908985892)
-8.63338147356232e+18,-2.2146939,53.4825764,36.0,1.0,POINT (-246538.5958332422 7072765.165380821)
-8.632388426808073e+18,-2.1983239,53.5266479,84.0,5.0,POINT (-244716.2957655912 7081013.926849491)
-8.614232350024186e+18,-2.193778,53.5221612,108.0,7.0,POINT (-244210.2484922846 7080173.769272735)
-8.611502345959822e+18,-2.2146848,53.4807787,56.0,2.0,POINT (-246537.5828259641 7072428.875958306)
-8.608377401522517e+18,-2.1380062,53.5330248,228.0,1.0,POINT (-238001.7601110774 7082208.187216208)
-8.60330854372324e+18,-2.2566422,53.4420454,48.0,3.0,POINT (-251208.2592339417 7065186.631992487)
-8.602981167190795e+18,-2.2251515,53.465479,50.0,1.0,POINT (-247702.7305417673 7069567.391359624)
-8.601127025884e+18,-2.2088299,53.515844,157.0,7.0,POINT (-245885.8183371627 7078990.992017571)
-8.592791148483678e+18,-2.2597025,53.4501284,102.0,4.0,POINT (-251548.9302714404 7066697.423284896)
-8.585890246247643e+18,-2.2312793,53.4843431,85.0,7.0,POINT (-248384.8741169653 7073095.669626468)
-8.585359832689297e+18,-2.1546509,53.5464869,12.0,1.0,POINT (-239854.6396400248 7084729.948483644)
-8.584255067675725e+18,-2.2432114,53.4627471,72.0,3.0,POINT (-249713.1494149946 7069056.555894054)
-8.575564601201214e+18,-2.2133722,53.5194313,13.0,1.0,POINT (-246391.464860347 7079662.625043378)
-8.560197662277663e+18,-2.2430932,53.4420738,68.0,2.0,POINT (-249699.9914521952 7065191.939725298)
-8.559598611388451e+18,-2.2731963,53.4411098,101.0,1.0,POINT (-253051.0532177365 7065011.777816671)
-8.559087933587131e+18,-2.2326239,53.4546785,161.0,8.0,POINT (-248534.5543058483 7067548.007695939)
-8.556678834535325e+18,-2.1953774,53.541933,29.0,2.0,POINT (-244388.2928850015 7083876.808416096)
-8.554634252048035e+18,-2.219196,53.4789728,455.0,31.0,POINT (-247039.7673132481 7072091.066937311)
-8.550859544003586e+18,-2.2597134,53.4519261,62.0,2.0,POINT (-251550.1436538023 7067033.469975774)
-8.529067383102856e+18,-2.1441143,53.5545896,103.0,1.0,POINT (-238681.7106921684 7086248.157432893)
-8.523066058572685e+18,-2.2525155,53.50767,240.0,1.0,POINT (-250748.8770877511 7077460.825449577)
-8.52281205640567e+18,-2.204297,53.5140541,81.0,7.0,POINT (-245381.218217104 7078655.898862785)
-8.518545935933475e+18,-2.204137,53.4807972,98.0,3.0,POINT (-245363.4071002073 7072432.336615641)
-8.505769374084876e+18,-2.2297238,53.4753577,321.0,19.0,POINT (-248211.7166493664 7071414.874799523)
-8.494828704119174e+18,-2.2089007,53.5302253,27.0,1.0,POINT (-245893.6997564077 7081683.877112115)
-8.491205522888602e+18,-2.1820011,53.5895923,81.0,1.0,POINT (-242899.2499769856 7092809.982305233)
-8.481372668910962e+18,-2.2012853,53.5149581,120.0,2.0,POINT (-245045.9573064183 7078825.137951689)
-8.478876816756554e+18,-2.2176109,53.4636953,159.0,1.0,POINT (-246863.3147890313 7069233.855213996)
-8.476625482339824e+18,-2.2370814,53.4438836,86.0,1.0,POINT (-249030.7609369172 7065530.184192717)
-8.475299738797852e+18,-2.2611365,53.4384402,63.0,7.0,POINT (-251708.5624219195 7064512.877747201)
-8.463815390028675e+18,-2.1788354,53.5554415,84.0,1.0,POINT (-242546.8458664301 7086407.79546194)
-8.461228321075834e+18,-2.2341248,53.4537767,189.0,11.0,POINT (-248701.6337297336 7067379.420199198)
-8.455148509738801e+18,-2.2625752,53.4276508,56.0,15.0,POINT (-251868.7177739616 7062496.85284131)
-8.452447559766579e+18,-2.1787974,53.5464532,71.0,2.0,POINT (-242542.6157262199 7084723.634696688)
-8.451009479343921e+18,-2.199968,53.555408,26.0,1.0,POINT (-244899.3161391085 7086401.517817247)
-8.450802231156221e+18,-2.2177122,53.4834698,29.0,3.0,POINT (-246874.5914524791 7072932.295880481)
-8.437716723415203e+18,-2.2387736,53.4771376,2.0,2.0,POINT (-249219.1357777189 7071747.791830701)
-8.425777351781037e+18,-2.2176155,53.4645942,135.0,4.0,POINT (-246863.8268586448 7069401.939822825)
-8.423021331820129e+18,-2.2386424,53.4537678,120.0,6.0,POINT (-249204.5306616707 7067377.756401688)
-8.42264005189039e+18,-2.2431137,53.4456691,100.0,5.0,POINT (-249702.2735015803 7065863.901206893)
-8.417502553363107e+18,-2.2416133,53.446571,96.0,5.0,POINT (-249535.2497374403 7066032.475217115)
-8.415968172178247e+18,-2.2087945,53.5086533,185.0,6.0,POINT (-245881.8776275405 7077644.882843917)
-8.4053923831807e+18,-2.2104271,53.5338179,73.0,2.0,POINT (-246063.617827089 7082356.730879512)
-8.398713420418957e+18,-2.2074977,53.5517998,118.0,1.0,POINT (-245737.5185096611 7085725.397710468)
-8.398642539637229e+18,-2.2103914,53.5266273,82.0,5.0,POINT (-246059.643721619 7081010.069190633)
-8.395823324128239e+18,-2.223773,53.4897505,126.0,3.0,POINT (-247549.2766224103 7074107.340986408)
-8.382228487171029e+18,-2.1336334,53.5815667,69.0,2.0,POINT (-237514.9822390221 7091304.973156267)
-8.374533701296182e+18,-2.2311571,53.4618722,76.0,2.0,POINT (-248371.2708762905 7068892.966097861)
-8.373790225233238e+18,-2.1382116,53.5959427,38.0,1.0,POINT (-238024.6251313956 7094001.050372771)
-8.371829886994181e+18,-2.2373674,53.4951173,20.0,1.0,POINT (-249062.5983087768 7075111.544028285)
-8.367353320618055e+18,-2.1639042,53.5977079,12.0,1.0,POINT (-240884.7122823316 7094332.159481901)
-8.365970141217738e+18,-2.1382233,53.599538,30.0,1.0,POINT (-238025.9275692617 7094675.456879037)
