cell_id,Longitude,Latitude,population,average_infected,geometry
-9.203901165702088e+18,-2.2865513,53.4123151,71.0,8.0,POINT (-254537.7250196764 7059632.221383607)
-9.200142574156205e+18,-2.2478767,53.4879052,22.0,1.0,POINT (-250232.4882344926 7073762.089007994)
-9.191006981421672e+18,-2.262542,53.4222578,91.0,5.0,POINT (-251865.0219671313 7061489.349840532)
-9.189900713025544e+18,-2.2732829,53.4545924,72.0,1.0,POINT (-253060.6934849808 7067531.911529893)
-9.188406391547171e+18,-2.2807174,53.4401935,111.0,6.0,POINT (-253888.2982405361 7064840.53434754)
-9.181877882936622e+18,-2.2506416,53.4456535,47.0,1.0,POINT (-250540.2754968719 7065860.985444506)
-9.16774233243223e+18,-2.2851011,53.4204083,3.0,1.0,POINT (-254376.2894936225 7061143.861598221)
-9.160582186348368e+18,-2.2822287,53.4410888,47.0,2.0,POINT (-254056.5353870385 7065007.85317336)
-9.155669283483501e+18,-2.263003,53.4968613,94.0,2.0,POINT (-251916.3402487436 7075437.898083923)
-9.146397060401699e+18,-2.2431805,53.457354,90.0,3.0,POINT (-249709.709642993 7068048.201581998)
-9.132471859214541e+18,-2.265804,53.4626989,140.0,9.0,POINT (-252228.1461443415 7069047.543315745)
-9.123050337147763e+18,-2.311338,53.5102277,115.0,1.0,POINT (-257296.9678391265 7077939.593214201)
-9.121630381170426e+18,-2.2615455,53.5049541,46.0,1.0,POINT (-251754.0920904082 7076952.476354361)
-9.116190489125581e+18,-2.2612248,53.4528217,119.0,7.0,POINT (-251718.3919322534 7067200.891102316)
-9.115759044473532e+18,-2.2895356,53.4087125,113.0,1.0,POINT (-254869.9357764465 7058959.423691779)
-9.100451280627235e+18,-2.2837102,53.4374899,39.0,2.0,POINT (-254221.4552129344 7064335.291389409)
-9.094880705927094e+18,-2.2222189,53.4807649,35.0,1.0,POINT (-247376.2750020986 7072426.294495975)
-9.086314011072302e+18,-2.2540233,53.5076668,148.0,4.0,POINT (-250916.7246160796 7077460.226469824)
-9.079078786806893e+18,-2.2790058,53.4087376,63.0,125.0,POINT (-253697.7638015219 7058964.111004166)
-9.073165450407059e+18,-2.2750563,53.4959353,209.0,3.0,POINT (-253258.1074680499 7075264.614385507)
-9.044881486293305e+18,-2.279159,53.4321075,50.0,5.0,POINT (-253714.8179463688 7063329.535736352)
-9.039768227211405e+18,-2.3006112,53.4859864,190.0,1.0,POINT (-256102.8659256844 7073403.101254588)
-9.022927791816161e+18,-2.265658,53.4393291,39.0,2.0,POINT (-252211.8934998272 7064678.99363691)
